prognosis,symptoms_description
Pelvic fistula,"I have back mass or lump, disturbance of smell or taste, early or late onset of menopause, elbow swelling, facial pain, headache, itchiness of eye, pus in urine, recent weight loss"
Pelvic fistula,"I have back mass or lump, disturbance of smell or taste, early or late onset of menopause, elbow swelling, headache, itchiness of eye, recent weight loss, vaginal bleeding after menopause"
Pelvic fistula,"I have back mass or lump, disturbance of smell or taste, early or late onset of menopause, elbow swelling, headache, muscle stiffness or tightness, muscle weakness, pus in urine, recent weight loss"
Pelvic fistula,"I have disturbance of smell or taste, early or late onset of menopause, elbow swelling, headache, itchiness of eye, muscle stiffness or tightness, recent weight loss, vaginal bleeding after menopause"
Pelvic fistula,"I have disturbance of smell or taste, early or late onset of menopause, elbow swelling, facial pain, itchiness of eye, muscle weakness, pus in urine, recent weight loss, vaginal bleeding after menopause"
Pelvic fistula,"I have disturbance of smell or taste, early or late onset of menopause, elbow swelling, facial pain, headache, muscle stiffness or tightness, muscle weakness, pus in urine, recent weight loss, vaginal bleeding after menopause"
Pelvic fistula,"I have back mass or lump, disturbance of smell or taste, early or late onset of menopause, elbow swelling, headache, muscle weakness, pus in urine, recent weight loss"
Pelvic fistula,"I have back mass or lump, facial pain, headache, itchiness of eye, muscle stiffness or tightness, pus in urine, recent weight loss, vaginal bleeding after menopause"
Pelvic fistula,"I have back mass or lump, disturbance of smell or taste, early or late onset of menopause, elbow swelling, facial pain, headache, muscle stiffness or tightness, recent weight loss"
Acute bronchiolitis,"I have constipation, coryza, cross-eyed, diarrhea, feet turned in, hot flashes, irregular heartbeat, nailbiting, problems with shape or size of breast, sharp chest pain, vaginal redness, weight gain"
Acute bronchiolitis,"I have constipation, coryza, cross-eyed, diarrhea, feet turned in, irregular heartbeat, nailbiting, problems with shape or size of breast, sharp chest pain, vaginal redness"
Acute bronchiolitis,"I have constipation, cross-eyed, feet turned in, hot flashes, nailbiting, problems with shape or size of breast, vaginal redness, weight gain"
Acute bronchiolitis,"I have coryza, cross-eyed, feet turned in, hot flashes, nailbiting, problems with shape or size of breast, sharp chest pain, weight gain"
Acute bronchiolitis,"I have constipation, coryza, hot flashes, irregular heartbeat, nailbiting, sharp chest pain, vaginal redness, weight gain"
Acute bronchiolitis,"I have constipation, coryza, cross-eyed, diarrhea, feet turned in, hot flashes, irregular heartbeat, problems with shape or size of breast, sharp chest pain, vaginal redness, weight gain"
Acute bronchiolitis,"I have constipation, coryza, cross-eyed, diarrhea, feet turned in, irregular heartbeat, problems with shape or size of breast, sharp chest pain, vaginal redness"
Acute bronchiolitis,"I have constipation, coryza, cross-eyed, feet turned in, hot flashes, irregular heartbeat, problems with shape or size of breast, sharp chest pain"
Acute bronchiolitis,"I have coryza, cross-eyed, diarrhea, hot flashes, problems with shape or size of breast, sharp chest pain, vaginal redness, weight gain"
Acute bronchiolitis,"I have constipation, coryza, cross-eyed, diarrhea, hot flashes, irregular heartbeat, nailbiting, sharp chest pain, vaginal redness"
Presbyopia,"I have abnormal involuntary movements, difficulty in swallowing, diminished hearing, excessive urination at night, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, mass on ear, pain during pregnancy, sore throat, symptoms of bladder"
Presbyopia,"I have difficulty in swallowing, diminished hearing, excessive urination at night, eye moves abnormally, foot or toe weakness, lack of growth, mass on ear, pain during pregnancy"
Presbyopia,"I have abnormal involuntary movements, difficulty in swallowing, diminished hearing, excessive urination at night, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, mass on ear"
Presbyopia,"I have abnormal involuntary movements, difficulty in swallowing, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Presbyopia,"I have difficulty in swallowing, diminished hearing, excessive urination at night, irritable infant, lack of growth, mass on ear, pain during pregnancy, sore throat, symptoms of bladder"
Presbyopia,"I have abnormal involuntary movements, difficulty in swallowing, excessive urination at night, irritable infant, lack of growth, mass on ear, sore throat, symptoms of bladder"
Presbyopia,"I have abnormal involuntary movements, difficulty in swallowing, diminished hearing, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, mass on ear, pain during pregnancy"
Presbyopia,"I have abnormal involuntary movements, difficulty in swallowing, excessive urination at night, eye moves abnormally, irritable infant, lack of growth, sore throat, symptoms of bladder"
Presbyopia,"I have difficulty in swallowing, diminished hearing, eye moves abnormally, foot or toe weakness, lack of growth, mass on ear, sore throat, symptoms of bladder"
Presbyopia,"I have abnormal involuntary movements, difficulty in swallowing, diminished hearing, excessive urination at night, foot or toe weakness, irritable infant, mass on ear, pain during pregnancy"
Dementia,"I have abnormal breathing sounds, decreased heart rate, depression, difficulty in swallowing, discharge in stools, disturbance of memory, disturbance of smell or taste, flushing, hoarse voice, infrequent menstruation, palpitations, problems during pregnancy"
Dementia,"I have decreased heart rate, depression, difficulty in swallowing, disturbance of memory, disturbance of smell or taste, flushing, hoarse voice, infrequent menstruation, palpitations"
Dementia,"I have abnormal breathing sounds, decreased heart rate, depression, difficulty in swallowing, disturbance of memory, flushing, hoarse voice, infrequent menstruation, palpitations"
Dementia,"I have abnormal breathing sounds, difficulty in swallowing, disturbance of memory, disturbance of smell or taste, flushing, hoarse voice, infrequent menstruation, palpitations"
Dementia,"I have abnormal breathing sounds, depression, discharge in stools, disturbance of memory, disturbance of smell or taste, flushing, infrequent menstruation, palpitations"
Dementia,"I have decreased heart rate, depression, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hoarse voice, palpitations, problems during pregnancy"
Dementia,"I have decreased heart rate, depression, difficulty in swallowing, disturbance of memory, flushing, hoarse voice, infrequent menstruation, palpitations, problems during pregnancy"
Dementia,"I have abnormal breathing sounds, discharge in stools, disturbance of memory, disturbance of smell or taste, flushing, infrequent menstruation, palpitations, problems during pregnancy"
Dementia,"I have abnormal breathing sounds, decreased heart rate, depression, difficulty in swallowing, discharge in stools, disturbance of memory, disturbance of smell or taste, flushing, palpitations, problems during pregnancy"
Dementia,"I have abnormal breathing sounds, depression, difficulty in swallowing, discharge in stools, disturbance of memory, disturbance of smell or taste, hoarse voice, problems during pregnancy"
Insect bite,"I have abdominal distention, arm stiffness or tightness, fluid in ear, hand or finger stiffness or tightness, itching of scrotum, leg stiffness or tightness, lip sore, penis redness, skin irritation, skin pain, skin rash, swollen abdomen"
Insect bite,"I have abdominal distention, arm stiffness or tightness, fluid in ear, lip sore, penis redness, skin irritation, skin rash, swollen abdomen"
Insect bite,"I have arm stiffness or tightness, fluid in ear, hand or finger stiffness or tightness, itching of scrotum, lip sore, skin irritation, skin rash, swollen abdomen"
Insect bite,"I have abdominal distention, arm stiffness or tightness, fluid in ear, hand or finger stiffness or tightness, itching of scrotum, lip sore, skin irritation, skin rash"
Insect bite,"I have abdominal distention, hand or finger stiffness or tightness, itching of scrotum, leg stiffness or tightness, lip sore, penis redness, skin rash, swollen abdomen"
Insect bite,"I have abdominal distention, arm stiffness or tightness, hand or finger stiffness or tightness, leg stiffness or tightness, lip sore, skin irritation, skin rash, swollen abdomen"
Insect bite,"I have abdominal distention, arm stiffness or tightness, fluid in ear, hand or finger stiffness or tightness, itching of scrotum, lip sore, skin rash, swollen abdomen"
Insect bite,"I have abdominal distention, arm stiffness or tightness, fluid in ear, itching of scrotum, skin irritation, skin pain, skin rash, swollen abdomen"
Insect bite,"I have abdominal distention, arm stiffness or tightness, hand or finger stiffness or tightness, itching of scrotum, leg stiffness or tightness, skin irritation, skin rash, swollen abdomen"
Insect bite,"I have abdominal distention, arm stiffness or tightness, hand or finger stiffness or tightness, leg stiffness or tightness, penis redness, skin irritation, skin pain, skin rash, swollen abdomen"
Paroxysmal ventricular tachycardia,"I have changes in stool appearance, decreased appetite, disturbance of smell or taste, facial pain, fainting, incontinence of stool, irregular belly button, pallor, sharp abdominal pain, sharp chest pain, sleepwalking, weakness"
Paroxysmal ventricular tachycardia,"I have changes in stool appearance, fainting, irregular belly button, pallor, sharp abdominal pain, sharp chest pain, sleepwalking, weakness"
Paroxysmal ventricular tachycardia,"I have changes in stool appearance, disturbance of smell or taste, fainting, incontinence of stool, pallor, sharp abdominal pain, sharp chest pain, sleepwalking"
Paroxysmal ventricular tachycardia,"I have changes in stool appearance, disturbance of smell or taste, facial pain, fainting, incontinence of stool, irregular belly button, pallor, sharp chest pain, sleepwalking, weakness"
Paroxysmal ventricular tachycardia,"I have changes in stool appearance, disturbance of smell or taste, fainting, incontinence of stool, irregular belly button, pallor, sharp abdominal pain, sharp chest pain, sleepwalking"
Paroxysmal ventricular tachycardia,"I have decreased appetite, disturbance of smell or taste, facial pain, fainting, incontinence of stool, sharp abdominal pain, sharp chest pain, sleepwalking"
Paroxysmal ventricular tachycardia,"I have decreased appetite, disturbance of smell or taste, facial pain, fainting, incontinence of stool, sharp abdominal pain, sharp chest pain, sleepwalking"
